Figure Type: line chart
QA Type: closed-ended infinite answer set non-visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"box plot";"closed-ended finite answer set non-binary visual";"0.5";"1.0";"0.33";"0.5";"1.0";"0.33";"0.83";"0.89";"0.77"


Figure Type: tree
QA Type: closed-ended finite answer set binary visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"tree";"closed-ended finite answer set binary visual";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"1.0"
"tree";"unanswerable";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"tree";"closed-ended finite answer set non-binary visual";"0.5";"1.0";"0.33";"0.5";"1.0";"0.33";"0.83";"0.89";"0.77"


Figure Type: venn diagram
QA Type: closed-ended finite answer set binary non-visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"venn diagram";"closed-ended finite answer set binary non-visual";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"1.0"


Figure Type: neural networks
QA Type: closed-ended finite answer set non-binary non-visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"neural networks";"closed-ended finite answer set non-binary non-visual";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"
"neural networks";"closed-ended finite answer set binary non-visual";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"1.0"


Figure Type: pie chart
QA Type: closed-ended finite answer set non-binary visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"pie chart";"closed-ended finite answer set non-binary visual";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"1.0"
"pie chart";"closed-ended finite answer set non-binary non-visual";"0.4";"1.0";"0.25";"0.4";"1.0";"0.25";"0.81";"0.88";"0.75"


Figure Type: histogram
QA Type: closed-ended finite answer set binary visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"histogram";"closed-ended finite answer set binary visual";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0";"1.0"

